model,simID,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
hs,6943,tropical,6.008504873,1.63E-08,1.23E-06,9.100580573,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6944,tropical,7.097489351,4.41E-07,0.000269888,1.786775036,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6945,tropical,3.642490496,6.69E-07,0.006264842,2.68914441,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6946,tropical,5.230986095,4.61E-07,1.98E-06,1.36732794,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6947,tropical,4.665636163,4.80E-06,2.21E-05,3.401423089,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6948,tropical,10.42505322,1.07E-05,4.04E-06,10.12195182,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6949,tropical,2.237235651,4.43E-05,6.66E-07,1.013634798,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6950,tropical,1.700326792,1.90E-05,0.000374661,3.273004481,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6951,tropical,10.64317038,2.37E-08,4.37E-05,2.682629318,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6952,tropical,5.425101082,5.15E-08,1.49E-06,2.49762515,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6953,tropical,4.702723803,3.71E-06,2.10E-07,7.480971612,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6954,tropical,2.702435801,3.14E-05,0.000239231,5.855725493,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6955,tropical,1.541904294,2.34E-06,0.001073314,7.932443194,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6956,tropical,7.578280693,1.12E-07,3.78E-07,3.896694567,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6957,tropical,6.781619167,3.43E-05,0.000288451,10.7867166,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6958,tropical,10.87101764,5.63E-08,1.29E-07,3.881263294,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6959,tropical,7.037924015,9.03E-07,6.41E-06,6.257645212,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6960,tropical,1.649499188,1.09E-08,0.000458564,1.778222696,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6961,tropical,2.621090819,2.77E-07,3.66E-06,7.785538353,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6962,tropical,5.753979205,5.87E-07,1.72E-05,2.819497165,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6963,tropical,1.019328347,3.18E-08,0.001340279,6.298044551,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6964,tropical,5.414591431,3.14E-06,4.56E-06,9.016788289,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6965,tropical,3.609297372,1.62E-07,5.25E-07,4.131871959,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6966,tropical,10.38413745,9.09E-08,3.20E-06,7.912734117,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6967,tropical,8.158332837,2.72E-07,6.50E-07,8.730445226,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6968,tropical,2.630854784,3.73E-05,0.00157528,3.617936325,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6969,tropical,5.761880185,9.17E-05,0.000209671,7.78760153,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6970,tropical,7.90256723,8.51E-06,4.95E-07,10.92143296,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6971,tropical,5.608951795,9.36E-05,4.26E-06,6.514875199,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6972,tropical,10.55146738,1.44E-06,0.001435989,10.30684474,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6973,tropical,8.125401224,5.44E-07,0.00129627,3.074043448,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6974,tropical,4.971479333,7.22E-05,5.58E-07,3.299590395,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6975,tropical,2.177206121,3.92E-08,1.28E-05,5.839865894,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6976,tropical,3.401162731,1.84E-08,1.68E-05,5.610593938,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6977,tropical,9.636305665,1.25E-08,0.00262807,8.82721357,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6978,tropical,5.359764017,2.82E-06,1.19E-05,1.006052661,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6979,tropical,5.97868052,6.12E-06,0.000281489,8.506233801,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6980,tropical,7.919276721,1.60E-05,0.000384242,9.307324375,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6981,tropical,8.603132818,3.56E-08,1.15E-07,4.146712363,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6982,tropical,2.554012226,4.36E-08,1.55E-07,8.1203316,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6983,tropical,9.49457093,9.02E-05,2.85E-07,3.517115492,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6984,tropical,10.46817819,3.93E-07,9.87E-06,4.093474982,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6985,tropical,6.884191904,5.64E-08,0.003170099,7.959548471,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6986,tropical,6.022508153,8.15E-07,1.68E-05,5.23095647,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6987,tropical,2.897799177,1.50E-06,0.000596713,9.52890213,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6988,tropical,1.018368582,2.05E-07,0.00036087,6.343999167,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6989,tropical,9.775780622,9.99E-05,6.82E-07,6.481775163,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6990,tropical,2.341113378,1.29E-06,0.002216726,9.455439785,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6991,tropical,1.227412242,3.43E-08,2.79E-07,4.770290799,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6992,tropical,10.39136706,5.68E-07,6.53E-07,2.660436785,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6993,tropical,3.929487228,3.04E-06,0.001765096,2.892480287,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6994,tropical,2.643265744,6.48E-08,0.000138246,9.568678161,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6995,tropical,4.991025558,3.44E-08,1.10E-06,4.375032346,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6996,tropical,5.595754121,1.28E-05,0.000231368,8.75028235,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6997,tropical,5.340308486,3.50E-06,0.006622599,1.690702021,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6998,tropical,6.170098264,1.34E-07,0.002562679,3.409492657,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,6999,tropical,9.462457526,5.82E-08,0.006439074,3.428018379,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,7000,tropical,1.551642864,1.15E-07,2.11E-05,4.871129891,on,on,10000,11,30000,5000,1,0,0,0,off,NA,0.1
hs,7001,tropical,3.655086631,1.65E-06,4.51E-05,1.728773572,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7002,tropical,4.721238996,5.66E-06,0.000265647,9.743087535,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7003,tropical,6.728533634,4.29E-06,8.25E-06,2.988728063,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7004,tropical,10.0820779,4.50E-06,0.005955798,6.345897586,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7005,tropical,3.01681931,7.74E-07,3.91E-07,2.05562191,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7006,tropical,9.98389685,7.55E-05,1.57E-07,4.839950173,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7007,tropical,10.44675269,4.06E-07,3.33E-05,8.477059246,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7008,tropical,7.607977925,2.50E-05,7.81E-05,7.957909979,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7009,tropical,7.291140439,1.06E-05,0.001572243,1.98391772,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7010,tropical,1.617862705,1.35E-06,0.000187165,7.115317934,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7011,tropical,3.059745749,3.14E-05,0.005280095,1.209252539,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7012,tropical,2.765567525,7.39E-07,3.62E-05,7.497122492,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7013,tropical,7.870228467,1.08E-08,2.66E-07,10.7837807,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7014,tropical,4.841037182,8.15E-06,0.009415699,9.425044592,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7015,tropical,8.6984142,7.35E-06,1.02E-05,9.42785842,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7016,tropical,5.976992421,5.62E-08,0.003007679,4.874521626,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7017,tropical,8.176185083,3.84E-06,0.002422658,8.930711021,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7018,tropical,10.91906095,1.47E-06,3.04E-06,5.061965591,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7019,tropical,4.800351794,2.19E-07,4.60E-07,3.533489051,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7020,tropical,8.774452213,3.56E-06,2.14E-06,5.19303989,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7021,tropical,10.34705231,2.07E-05,1.07E-07,5.954995329,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7022,tropical,3.121425213,6.85E-06,0.001253167,9.582459569,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7023,tropical,7.516737661,2.48E-07,7.47E-07,8.322648535,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7024,tropical,2.25555096,3.26E-08,0.001642112,10.74428491,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7025,tropical,3.672206687,3.57E-07,6.82E-07,2.000549097,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7026,tropical,4.861140925,5.16E-05,0.000660841,9.32590837,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7027,tropical,1.133903332,1.65E-05,3.93E-05,5.505541779,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7028,tropical,4.823879571,1.08E-05,2.31E-06,9.504591358,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7029,tropical,9.696908457,6.75E-05,5.20E-06,6.697515437,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7030,tropical,4.403489967,9.45E-05,0.000335256,10.61542514,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7031,tropical,5.820801155,2.67E-06,9.07E-05,10.54750734,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7032,tropical,6.995658254,1.31E-08,2.22E-05,3.837795089,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7033,tropical,5.93541307,2.22E-07,4.81E-06,8.396064978,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7034,tropical,2.862176014,1.29E-07,0.006905373,1.707425757,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7035,tropical,9.273733186,2.94E-08,0.000169516,10.00119547,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7036,tropical,7.684667382,1.49E-08,9.58E-07,2.334205726,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7037,tropical,8.942398607,3.03E-07,6.11E-06,6.558860777,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7038,tropical,2.079436259,2.23E-07,3.67E-05,7.004080325,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7039,tropical,8.23710946,4.95E-08,0.002600062,2.32961039,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7040,tropical,5.112744296,3.07E-06,5.80E-07,6.093123373,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7041,tropical,9.209462941,3.90E-07,1.42E-06,4.670499076,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7042,tropical,7.470601938,6.65E-05,6.53E-07,1.033045474,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7043,tropical,8.829327623,4.11E-06,0.00011796,1.479798603,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7044,tropical,6.530363116,2.07E-07,3.22E-05,9.820484502,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7045,tropical,6.297195802,6.15E-08,8.72E-07,9.235170401,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7046,tropical,8.893562317,2.89E-08,1.09E-05,5.13030901,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7047,tropical,1.233312023,9.64E-05,8.16E-05,10.21733218,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7048,tropical,5.77230065,3.29E-07,3.50E-06,5.774029334,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7049,tropical,8.323137387,1.77E-06,2.54E-05,5.749944236,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7050,tropical,7.927315565,8.53E-06,0.004977072,7.57836067,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7051,tropical,5.776196221,3.04E-05,1.70E-07,2.633204538,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7052,tropical,9.612094768,1.94E-06,4.72E-05,1.951943712,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7053,tropical,5.380971072,1.11E-08,1.63E-05,9.615147923,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7054,tropical,3.44797277,4.22E-05,0.003402729,3.398791697,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7055,tropical,1.706790471,1.21E-05,0.002542213,6.55404132,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7056,tropical,1.994661602,3.39E-07,6.55E-07,9.494065951,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7057,tropical,4.162717072,2.38E-08,0.000576705,4.496475806,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7058,tropical,6.186342632,1.58E-08,1.03E-05,10.75738595,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7059,tropical,7.620050764,1.93E-05,6.09E-05,9.694055302,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7060,tropical,5.068301872,2.08E-05,2.52E-07,8.54124051,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7061,tropical,10.12875924,4.16E-06,3.83E-07,3.2367342,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7062,tropical,3.936033728,3.40E-08,0.004226324,8.698164654,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7063,tropical,5.590657263,2.33E-07,0.002478684,9.747135843,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7064,tropical,4.323946742,8.42E-06,6.55E-07,1.437931081,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7065,tropical,7.508704671,4.26E-05,4.55E-05,2.997607071,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7066,tropical,3.580167807,6.09E-06,0.004456161,9.537423583,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7067,tropical,5.785452483,9.25E-08,4.25E-06,7.522541284,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7068,tropical,8.663106706,3.77E-06,6.37E-07,9.693320192,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7069,tropical,1.842469144,1.33E-07,0.005604535,9.136365875,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7070,tropical,9.7532133,6.77E-05,2.05E-05,4.614476379,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7071,tropical,4.390729378,4.30E-08,1.27E-06,1.90895846,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7072,tropical,9.394403502,4.71E-07,1.02E-07,6.746552905,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7073,tropical,4.466834892,1.02E-07,0.000124728,7.547304136,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7074,tropical,4.337749308,2.39E-08,1.03E-05,9.222047763,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7075,tropical,5.763512451,2.05E-05,0.003163465,5.555755151,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7076,tropical,9.921983358,1.26E-06,3.38E-05,10.84328898,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7077,tropical,9.643394706,4.69E-06,0.000428978,8.503983781,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7078,tropical,4.899895435,4.30E-07,1.37E-07,2.33555687,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7079,tropical,8.773206988,2.35E-05,7.89E-06,3.151735127,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7080,tropical,10.60617997,8.90E-06,8.58E-06,9.483795377,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7081,tropical,5.346594848,2.47E-07,4.89E-06,5.653411855,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7082,tropical,8.125146787,6.25E-05,6.64E-06,10.1576779,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7083,tropical,4.999943689,3.86E-06,0.000156236,10.16557738,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7084,tropical,4.253521519,1.38E-08,1.46E-07,9.198545838,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7085,tropical,8.57087148,2.43E-06,0.000302666,6.669011576,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7086,tropical,3.026922551,4.58E-07,0.001196247,7.154771612,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7087,tropical,8.111212225,2.03E-08,3.44E-05,8.948002899,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7088,tropical,2.21691921,1.29E-06,3.66E-07,5.396965485,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7089,tropical,3.45488514,7.07E-05,0.003401077,5.125872531,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7090,tropical,2.433043794,6.84E-06,1.17E-05,6.654852851,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7091,tropical,3.396294151,1.64E-06,2.34E-05,2.51647832,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7092,tropical,1.589343773,9.37E-08,0.000370315,9.074608454,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7093,tropical,7.422882585,1.29E-05,1.62E-06,5.956413663,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7094,tropical,9.762692127,4.05E-06,3.15E-06,2.405091831,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7095,tropical,8.789146774,2.09E-05,0.000332962,2.102892791,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7096,tropical,8.973088259,3.93E-06,0.00072173,2.107910634,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7097,tropical,5.552744536,8.31E-07,1.17E-07,1.047142794,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7098,tropical,5.10084082,9.56E-07,5.71E-05,3.384043552,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7099,tropical,9.108702428,3.31E-07,0.000182939,9.788228792,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7100,tropical,7.049332903,6.34E-07,0.004553062,1.772186574,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7101,tropical,7.547239281,1.81E-05,0.000283112,2.385385601,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7102,tropical,4.531972719,5.19E-05,1.86E-06,1.475245749,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7103,tropical,3.702601459,3.89E-08,1.14E-05,1.339188734,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7104,tropical,10.92684061,9.98E-06,4.12E-07,10.16089018,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7105,tropical,7.334932644,7.99E-05,4.57E-07,9.402003939,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7106,tropical,3.132081352,7.93E-05,0.000158705,2.788714165,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7107,tropical,2.293723481,2.53E-07,5.40E-06,5.952679451,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7108,tropical,5.781180343,3.77E-07,1.30E-05,4.069585271,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7109,tropical,10.2407447,6.37E-05,0.00497788,3.743769619,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7110,tropical,6.987609671,2.67E-08,8.31E-06,2.282438554,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7111,tropical,10.76170695,5.48E-05,1.39E-06,5.293819133,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7112,tropical,8.317925119,2.42E-07,0.000282744,7.959449637,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7113,tropical,4.567269121,1.36E-06,1.12E-07,4.350607185,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7114,tropical,5.314736906,1.43E-06,0.000269559,8.012464334,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7115,tropical,2.482115607,7.23E-06,0.000908601,9.405349148,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7116,tropical,1.130775755,4.20E-07,3.45E-05,9.826320067,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7117,tropical,8.155660661,4.08E-08,3.47E-06,8.665893501,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7118,tropical,2.031842357,2.30E-07,0.000485357,4.220276276,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7119,tropical,5.462843486,3.21E-06,3.34E-06,1.421170078,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7120,tropical,7.401010451,1.70E-08,0.000747384,9.927099223,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7121,tropical,10.9183862,2.55E-05,3.64E-07,7.381051452,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7122,tropical,5.955935779,7.09E-08,0.000974358,6.544931162,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7123,tropical,5.843495244,1.44E-06,2.85E-05,8.663299481,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7124,tropical,2.734423349,3.52E-08,0.0014608,1.968612945,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7125,tropical,8.548209445,1.99E-07,0.000619606,8.480164876,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7126,tropical,5.538954892,3.05E-06,0.003241401,9.752179877,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7127,tropical,6.111697838,1.06E-07,2.47E-06,1.076685955,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7128,tropical,3.075451133,3.46E-06,1.69E-05,10.34916985,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7129,tropical,3.286581427,8.76E-07,2.29E-06,5.069656581,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7130,tropical,6.957119963,5.66E-05,4.46E-06,8.887633897,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7131,tropical,6.748721983,2.69E-05,0.002079712,10.76127625,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7132,tropical,1.770643803,3.04E-07,3.54E-07,4.334025459,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7133,tropical,1.355405796,1.81E-07,1.03E-05,8.87214821,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7134,tropical,7.427954922,2.06E-05,1.07E-05,1.893609161,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7135,tropical,10.286152,6.42E-07,1.52E-05,1.43699902,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7136,tropical,6.980924224,1.83E-07,7.67E-07,6.149337382,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7137,tropical,6.60900748,2.46E-08,2.13E-06,1.480893275,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7138,tropical,6.260277239,1.82E-08,0.000198495,1.891961276,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7139,tropical,10.85095224,5.73E-06,0.001203033,7.883255215,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7140,tropical,6.076418223,4.70E-06,1.28E-05,1.348385337,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7141,tropical,7.827880787,4.15E-05,6.31E-07,5.309109244,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7142,tropical,7.015412176,1.61E-07,2.77E-06,8.592940512,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7143,tropical,3.388686778,5.39E-05,0.001024814,9.317969546,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7144,tropical,3.581659267,6.43E-08,6.63E-07,4.824625169,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7145,tropical,8.293096234,1.48E-05,0.000889127,7.155548189,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7146,tropical,5.525708314,7.92E-08,4.18E-05,4.449866504,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7147,tropical,2.751267684,1.33E-08,3.98E-06,6.322787741,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7148,tropical,8.466982696,2.81E-05,2.38E-06,3.600091069,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
hs,7149,tropical,2.049876404,5.50E-06,0.001022092,6.728606223,on,off,10000,11,30000,5000,1,0,0,0,on,10,0.1
